State,Avg_Nitrogen,Avg_Phosphorous,Avg_Potassium,pH
ANDHRA PRADESH,17.20829732065687,12.37202925045704,272.95081967213116,8.805699481865286
ASSAM,53.26569435637286,15.0,165.35616148805747,6.792644261255549
BIHAR,23.750328055288254,17.392825896762908,235.32423208191128,7.981484584450402
CHHATTISGARH,20.46359001674022,13.125751474321051,263.5807768620268,5.714503185551316
DELHI,10.0,11.538461538461538,120.83333333333334,6.4
GOA,46.125,9.620253164556962,135.0,4.0375
GUJARAT,10.0,15.0,225.0,10.0
HIMACHAL PRADESH,28.978670012547056,14.358429214607305,234.21710855427716,6.08656265727227
JAMMU & KASHMIR,50.69200172521206,16.97378510495543,220.76303680981596,6.748093799453316
JHARKHAND,34.34644178642113,14.16458207539032,203.48177441540577,4.538547968885047
MADHYA PRADESH,21.841577413616925,14.44697631674099,261.88479331443074,7.632099061194545
MAHARASHTRA,21.474482061647294,13.319183343440468,281.25821121778677,8.950530035335689
MIZORAM,10.0,13.333333333333336,100.0,4.0
NAGALAND,45.19299572413392,15.50975886442305,227.85566770412174,4.136216876581633
PUNJAB,10.0,14.639175257731958,201.03092783505156,7.121428571428572
RAJASTHAN,11.097737120847375,15.075213853536406,256.174796154568,9.623754933283216
TAMIL NADU,10.213119291447551,14.928582410824108,241.01635765458295,8.28098919035447
TELANGANA,10.0,8.358208955223882,58.955223880597,7.044776119402985
TRIPURA,18.043087971274687,19.56989247311828,150.44802867383513,4.0
UTTAR PRADESH,11.576962317483149,12.43833429457442,199.93442321668738,8.250203803776882
UTTARAKHAND,10.103896103896105,12.87136294027565,191.0769230769231,8.133640552995391
WEST BENGAL,44.296788482835,17.441860465116278,270.9579180509413,4.904656319290466
